east
19
0	0
1 	1
2 	16
3 	3
4 	6
5 	7
6 	8
7 	9
8 	10
9 	12
10 	11
11 	4
12 	15
13	2
14	17
15	18
16	-1
17	-1
18	-1
west
19
0	0
1 	1
2 	2
3	3
4	6
5	7
6	8
7	15
8	10
9	9
10	12
11	4
12	11
13	16
14	17
15	18
16	-1
17	-1
18	-1
